start	end	text
992800	995660	Despite whatever difficulties you've encountered, dear cousin,
995920	998440	again and again you have never yielded.
998860	1002280	I must admit, your strength of will is quite inspiring,
1002700	1005020	for even I have doubts from time to time.
1005500	1009120	It's all the clearer to me why the goddess Nyx spoke so highly of you.
1009940	1013540	I have grown closer than expected with the goddess Nyx in all of this, cousin.
1014080	1016740	It is quite evident to me how much she cares for you.
1017260	1020160	I must admit I envy your relationship sometimes,
1020640	1023440	for I've made do without a mother's presence in my life.
1023980	1028700	Lord Ares has suggested he and goddess Nyx have grown much closer to each other in all this.
1029200	1030860	Nothing untoward, if you must know.
1030860	1033980	Ares and I have often disagreed about so many things,
1034080	1036940	and yet we share a fondness for the knight herself, it seems.
1037540	1039360	Sometimes I think about the goddess Nyx
1039360	1042360	and how I long for her to be the mother that I never had, cousin.
1043100	1045340	Is it improper that I say such things to you?
1046220	1049160	One would expect I would already have somebody on Olympus yet.
1049720	1052360	It often feels as though I am the mother here.
1052920	1055020	You arrived sooner than anticipated, cousin,
1055400	1057660	and my estimations seldom are inaccurate.
1058120	1059340	All for the best, of course.
1059340	1061760	Perhaps you're simply faster than I thought.
1062680	1065480	The biting cold surrounding you must mean the goddess of seasons
1065480	1068260	decided to take an interest in your struggle, Zagreus.
1068880	1071380	I did not count on Demeter being a part of this.
1071980	1074520	Take heart, though use discretion around her.
1075280	1077560	You bear my owl pendant, noble cousin.
1078040	1081240	Wherever it should go, I faintly see it shimmer from afar,
1081620	1086020	even where you reside, for owls see in total darkness, after all.
1086400	1089160	You got your hands on Malfon, the twin fists I see.
1089340	1092940	No ordinary weapon, prone to fits of savagery,
1093100	1094980	quite unbecoming of a well-trained warrior.
1095580	1098440	Then watch yourself and throw not caution to the wind.
1099140	1102600	The Rail of Adamate itself has found its way into your hands, cousin.
1103240	1105400	A malignant thing if you were to ask me,
1105560	1107680	and not one I would ever use myself.
1108120	1110360	Unless perhaps I had no other choice.
1110820	1113140	I suppose it must have been that way for you.
1113920	1118120	The goddess Nyx has indicated you possess a list of prophecies from the three fates.
1118120	1120720	I've such a list upon Olympus here.
1121140	1123060	It seems to be connected to your own,
1123380	1125640	as several prophecies already are fulfilled.
1126200	1128360	Isn't it such an honor to urge fate along?
1128840	1131720	My, how very generous of you to offer me this gift.
1132140	1136200	I'm very grateful, though I ask that you not go out of your way on my account.
1136740	1138440	Let's please stay focused here.
1139140	1143560	I know there isn't much that you can do to show your gratitude at present, Zagreus.
1143640	1146820	But I would ask that you save it for when your task is complete.
1146820	1149760	You've more important matters to attend to now.
1150560	1154320	I know there isn't much that you can do to show your gratitude at present, Zagreus.
1154720	1157120	But I would ask you to save it for a better time.
1157560	1159940	You've more important matters to attend to now.
1160920	1163100	Perhaps there really is no time quite like the present
1163100	1165680	when it comes to showing thanks to one another, my dear cousin.
1166620	1168620	You've opened my eyes to the possibility,
1168880	1171700	though I remain steadfast in my resolve to fight for you.
1173060	1175940	Zagreus, when Nyx revealed herself to me
1175940	1177300	and I first learned of you,
1177540	1180360	I saw it as an opportunity to bridge the great divide
1180360	1182300	between Olympus and your father's realm.
1182980	1185740	But having had all these glimpses into who you are,
1186180	1189620	it is an even greater honor to have forged this partnership with you.
1190780	1192520	Supporting you through your ordeal, cousin,
1193040	1197420	it's reminiscent of the thrill of doing battle by the side of those whom I hold dear.
1197860	1201840	I may be safe upon our mountaintop, though I am with you there as well,
1202180	1204900	for every well-earned victory and bitter loss.
1204900	1210080	Noble cousin, my lord father has taken keen interest in your journey and your plight,
1210380	1212740	and seeks to aid you with the thunder of heaven itself.
1213280	1215360	And you've my support as well, of course.
1215960	1220540	Lord father, would that I could settle even more such matters quickly and discreetly
1220540	1224560	so that only the most vital of them rise up to the level of your notice, sir.
1224900	1228600	Though I'm certain Zagreus and I are very grateful you have intervened.
1229220	1234400	Your predicament has pulled our family together, united in a desire to assist you, cousin.
1234900	1238580	Even those who typically do not think much of those other than themselves.
1239760	1243400	The world is not all lies and deceit as you make it out to be, Aphrodite.
1243800	1247400	Sometimes a lending of assistance is no more than it appears to be.
1247900	1250560	Now either back up Zagreus or stand aside.
1251560	1256580	When I first notified lord father Zeus and other members of our family of your existence, Zagreus,
1256960	1262420	it was uncle Poseidon here who first leapt up and pledged his power over sea and earth to you.
1262800	1264100	Is that not so, uncle?
1264780	1268820	Surely my cleverness comes from your brother and yourself, lord uncle Poseidon.
1269000	1273500	And I would only add my feeling is we've more than enough children in this family,
1273940	1276180	thus no further need for more of them for now.
1276920	1281280	Some members of our family do not yet fully understand just how precarious your situation
1281280	1281900	is, cousin.
1282460	1287440	My lord Dionysus here, he goes about as though this is a festive matter of some sort.
1287980	1291120	Perhaps lord Dionysus here is the true god of strategy,
1291120	1294840	as it appears he is uncannily aware of my next move, cousin.
1295540	1301160	Although be that as it may, I shall attempt to remain focused on your situation, not his feast.
1302180	1304480	I bring to you the lady Demeter, cousin.
1304880	1309500	I've asked that she please rest assured knowing we have your matter well under control,
1310080	1314540	though in her infinite compassion she has taken up your cause nevertheless.
1315540	1319700	Please do not mind the lady Demeter's good-natured sense of humor, Zagreus.
1319700	1325300	She and my father often like to jest with one another, even in the most difficult times.
1325920	1327920	Is this some kind of offering for me?
1328340	1329440	No, hold a moment.
1329620	1330900	This appears to be a message.
1331600	1332240	Part of one.
1333000	1334940	Then can this mean...
1334940	1336360	I have to notify the others.
1336740	1340020	I trust they also have received something from you, or shortly shall.
1340740	1343620	It was my privilege to have visited your father's house
1343620	1346340	and briefly had a chance to meet you, Zagreus.
1346920	1349420	Nyx and your mother each are very shrewd.
1349420	1351380	Perhaps you've taken after both of them.
1351760	1357060	As for your new responsibilities, exposing weak points and defenses is my specialty.
1358040	1360700	It's fortunate your troubles with your mother were resolved.
1361280	1362240	Persephone, I mean.
1362760	1366920	To think I led all of my family to believe your mother was the goddess Nyx instead.
1367480	1371240	It seems I was an unwitting accomplice to a bit of a deception there.
1371620	1374480	But Nyx, I know she merely tried to help.
1375380	1375940	Zagreus.
1375940	1380700	Perhaps it is a fancy of imagination, but it seems almost as though, this time,
1380940	1384040	you bear the blessing of your own father.
1384800	1387760	If Lord Hades is assisting you in any way in this,
1388160	1391880	then I shall hold out hope that your relationship yet has capacity to heal.
1392280	1393840	To some extent, at least.
1394360	1396780	So you've another blessing from Lord Hades, then?
1397380	1401960	Zagreus, I'm under no delusion you and your father shall become the closest friends from here.
1402480	1407080	Nevertheless, I do believe it's possible to move forward even such a relationship as yours.
1407780	1409020	Believe me, I know.
